timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T01:09:49.027+00:00,5625,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.04,0.0,0.0,3.434,1.353,412.08,162.36,-17.91,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0,0,0,0,0,8.0,0.0,304.35,121.03,425.38,0.0,-2.17
2026-06-05T01:09:49.146+00:00,5742,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.449,1.345,413.88,161.4,-18.4,-10.05,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0,0,0,0,0,8.0,0.0,352.77,139.92,492.69,0.0,-4.19
2026-06-05T01:09:49.261+00:00,5859,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.44,1.336,412.8,160.32,-18.4,-10.17,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0,0,0,0,0,8.0,0.0,401.07,158.68,559.74,0.0,0.0
2026-06-05T01:09:49.448+00:00,5975,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.432,1.34,411.84,160.8,-18.15,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0,0,0,0,0,8.0,0.0,448.84,177.33,626.17,0.0,2.16
2026-06-05T01:09:49.542+00:00,6091,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.437,1.347,412.44,161.64,-18.15,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0,0,0,0,0,8.0,0.0,496.68,196.08,692.76,0.0,0.0
2026-06-05T01:09:49.613+00:00,6208,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.426,1.342,411.12,161.04,-18.89,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0,0,0,0,0,8.0,0.0,544.78,214.92,759.71,0.0,-6.32
2026-06-05T01:09:49.728+00:00,6325,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.41,1.349,409.2,161.88,-17.66,-9.56,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0,0,0,0,0,8.0,0.0,592.66,233.86,826.52,0.0,10.51
2026-06-05T01:09:49.846+00:00,6440,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.09,0.0,0.0,3.396,1.36,407.52,163.2,-17.42,-10.17,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0,0,0,0,0,0,8.0,0.0,639.53,252.63,892.15,0.0,2.09
2026-06-05T01:09:49.961+00:00,6557,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.386,1.355,406.32,162.6,-18.4,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0,0,0,0,0,0,8.0,0.0,687.07,271.65,958.72,0.0,-8.38
2026-06-05T01:09:50.080+00:00,6674,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,3.378,1.359,405.36,163.08,-18.15,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0,0,0,0,0,8.0,0.0,734.49,290.73,1025.23,0.0,2.14
2026-06-05T01:09:50.241+00:00,6790,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.09,0.0,0.0,3.37,1.361,404.4,163.32,-17.91,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0,0,0,0,0,8.0,0.0,781.4,309.68,1091.08,0.0,2.07
2026-06-05T01:09:50.313+00:00,6906,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.04,0.0,0.0,3.374,1.352,404.88,162.24,-18.15,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0,0,0,0,0,8.0,0.0,828.37,328.5,1156.87,0.0,-2.07
